model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,3,64x64,64,256,2731910,13,0.7576656937599182,0.6764116287231445,0.6015625,1.1583595275878906,0.6425702571868896,0.9620253443717957
CNN,3,64x64,64,64,961094,22,0.7111770510673523,0.7266890406608582,0.65234375,1.0794553756713867,0.654618501663208,1.0797404050827026
CNN,3,64x64,64,32,665958,21,0.4371908903121948,1.3196916580200195,0.55859375,1.2229490280151367,0.5060241222381592,1.2660515308380127
CNN,3,64x64,32,256,1274694,13,0.8056379556655884,0.5601696372032166,0.62890625,1.1380008459091187,0.6706827282905579,0.9031073451042175
CNN,3,64x64,32,64,388614,15,0.6434223651885986,0.9543079137802124,0.609375,1.0904757976531982,0.6305220723152161,0.9922512173652649
CNN,3,64x64,32,32,240934,18,0.550939679145813,1.0979602336883545,0.62109375,1.0160696506500244,0.586345374584198,1.0526243448257446
CNN,3,64x64,128,256,6199302,13,0.6928783655166626,0.8245363831520081,0.640625,0.9707882404327393,0.6787148714065552,0.9934484362602234
CNN,3,64x64,128,64,2659014,14,0.6023738980293274,1.0085513591766357,0.6015625,1.089818000793457,0.5622490048408508,1.168604850769043
CNN,3,64x64,128,32,2068966,9,0.475271999835968,1.329474925994873,0.49609375,1.4376606941223145,0.4417670667171478,1.2988524436950684
CNN,3,128x128,64,256,13217670,13,0.8145400881767273,0.5260321497917175,0.609375,1.2652639150619507,0.6706827282905579,1.0062094926834106
CNN,3,128x128,64,64,3582534,16,0.6572700142860413,0.8663851618766785,0.54296875,1.1718357801437378,0.5943775177001953,1.0782731771469116
CNN,3,128x128,64,32,1976678,9,0.47131553292274475,1.292234182357788,0.453125,1.2863173484802246,0.48995983600616455,1.2625850439071655
CNN,3,128x128,32,256,6517574,13,0.8293768763542175,0.48159950971603394,0.6015625,1.3135919570922852,0.6666666865348816,1.0979005098342896
CNN,3,128x128,32,64,1699334,13,0.6765578389167786,0.8408864140510559,0.6171875,1.0855575799942017,0.5903614163398743,1.1012368202209473
CNN,3,128x128,32,32,896294,18,0.5959445834159851,1.0428181886672974,0.56640625,1.299812912940979,0.6224899888038635,1.1143442392349243
CNN,3,128x128,128,256,27170822,14,0.7952522039413452,0.5719261169433594,0.6015625,1.0707566738128662,0.6746987700462341,0.951088547706604
CNN,3,128x128,128,64,7901894,10,0.5751730799674988,1.093971848487854,0.55859375,1.137162685394287,0.6787148714065552,1.0043588876724243
CNN,3,128x128,128,32,4690406,14,0.4673590362071991,1.2388572692871094,0.5390625,1.2141050100326538,0.5461847186088562,1.196107029914856
CNN,2,64x64,64,256,6499974,13,0.7725024819374084,0.6220142841339111,0.6015625,1.0889657735824585,0.6144578456878662,1.025704264640808
