model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,3,256x256,64,256,59355014,9,0.8204748034477234,0.5158076286315918,0.6015625,1.4524204730987549,0.5421686768531799,1.1856694221496582
CNN,3,256x256,64,64,15116870,11,0.7576656937599182,0.6552306413650513,0.59765625,1.2380414009094238,0.5582329034805298,1.082543134689331
CNN,3,256x256,64,32,7743846,11,0.6013847589492798,0.974931538105011,0.5234375,1.377586007118225,0.49799197912216187,1.389063835144043
CNN,3,256x256,32,256,29586246,11,0.8288822770118713,0.48495253920555115,0.50390625,1.8481558561325073,0.586345374584198,1.1822922229766846
CNN,3,256x256,32,64,7466502,9,0.8026705980300903,0.5561710000038147,0.609375,1.2989842891693115,0.6265060305595398,1.0757561922073364
CNN,3,256x256,32,32,3779878,12,0.6993076205253601,0.7458896040916443,0.53125,1.4897395372390747,0.5060241222381592,1.2946008443832397
CNN,3,256x256,128,256,119445510,10,0.7378832697868347,0.707283616065979,0.56640625,1.1705904006958008,0.586345374584198,1.0759676694869995
CNN,3,256x256,128,64,30970566,9,0.5776458978652954,1.0753133296966553,0.5390625,1.2977986335754395,0.4738955795764923,1.272868037223816
CNN,3,256x256,128,32,16224742,17,0.6646884083747864,0.8335548639297485,0.5625,1.2765998840332031,0.5341365337371826,1.1150248050689697
CNN,2,256x256,64,256,126037638,6,0.8714144229888916,0.39099735021591187,0.52734375,1.721034049987793,0.49799197912216187,1.298336386680603
CNN,2,256x256,64,64,31566150,6,0.7225519418716431,0.7597777843475342,0.44140625,1.583388090133667,0.522088348865509,1.1982957124710083
CNN,2,256x256,64,32,15820902,10,0.6439169049263,0.8604255318641663,0.4453125,1.6787943840026855,0.43775099515914917,1.4238224029541016
CNN,2,256x256,32,256,63001286,6,0.8921859264373779,0.355022132396698,0.54296875,1.743281364440918,0.5140562057495117,1.245227575302124
CNN,2,256x256,32,64,15764870,8,0.7561820149421692,0.6747060418128967,0.51953125,1.3014272451400757,0.6024096608161926,1.1588417291641235
CNN,2,256x256,32,32,7892134,8,0.27398616075515747,1.6062253713607788,0.25390625,1.6251145601272583,0.2610441744327545,1.6329927444458008
