model,layer count,img size,filter count,neuron count,params,final epoch,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
CNN,3,64x64,64,256,2731910,9,0.7289811968803406,0.787672221660614,0.62890625,1.040440559387207,0.6184738874435425,1.01737642288208
CNN,3,64x64,64,64,961094,13,0.747279942035675,0.6897085309028625,0.640625,1.076073169708252,0.6465863585472107,0.9493006467819214
CNN,3,64x64,64,32,665958,25,0.6468842625617981,0.842718243598938,0.640625,1.0108588933944702,0.6265060305595398,1.0108755826950073
CNN,3,64x64,32,256,1274694,12,0.8278931975364685,0.5081827640533447,0.671875,1.0413345098495483,0.6626505851745605,0.9137306809425354
CNN,3,64x64,32,64,388614,12,0.690405547618866,0.8138527870178223,0.62890625,1.066880226135254,0.6425702571868896,0.9597674608230591
CNN,3,64x64,32,32,240934,18,0.6236399412155151,0.9433135390281677,0.6171875,1.0633864402770996,0.6184738874435425,1.0775378942489624
CNN,3,64x64,128,256,6199302,14,0.7903066277503967,0.5676822662353516,0.69921875,0.9809543490409851,0.6867470145225525,0.8994264006614685
CNN,3,64x64,128,64,2659014,11,0.606330394744873,1.0090246200561523,0.51953125,1.219681978225708,0.5702811479568481,1.198674201965332
CNN,3,64x64,128,32,2068966,14,0.549456000328064,1.1232901811599731,0.53125,1.2338625192642212,0.5140562057495117,1.1847203969955444
CNN,3,128x128,64,256,13217670,9,0.8046488761901855,0.5534247159957886,0.66015625,1.222781777381897,0.6465863585472107,1.0638357400894165
CNN,3,128x128,64,64,3582534,14,0.7596439123153687,0.6373605728149414,0.671875,1.1592336893081665,0.6385542154312134,1.0499619245529175
CNN,3,128x128,64,32,1976678,11,0.6543026566505432,0.8996922969818115,0.58203125,1.190969467163086,0.5461847186088562,1.2130134105682373
CNN,3,128x128,32,256,6517574,12,0.8733927011489868,0.35665708780288696,0.59765625,1.3555643558502197,0.6224899888038635,1.1212751865386963
CNN,3,128x128,32,64,1699334,12,0.7794263362884521,0.5993918180465698,0.6484375,1.0513564348220825,0.6345381736755371,0.9325966835021973
CNN,3,128x128,32,32,896294,16,0.6142433285713196,0.9379445910453796,0.6328125,1.11801278591156,0.6425702571868896,1.0829530954360962
CNN,3,128x128,128,256,27170822,7,0.6508407592773438,0.9325585961341858,0.53515625,1.172857403755188,0.5742971897125244,1.0625790357589722
CNN,3,128x128,128,64,7901894,15,0.754203736782074,0.6484010219573975,0.578125,1.2598870992660522,0.6385542154312134,1.080384612083435
CNN,3,128x128,128,32,4690406,17,0.7037586569786072,0.7153213620185852,0.5859375,1.3496475219726562,0.586345374584198,1.2573426961898804
CNN,2,64x64,64,256,6499974,11,0.8709198832511902,0.3859759569168091,0.58203125,1.6146938800811768,0.6345381736755371,1.006115436553955
CNN,2,64x64,64,64,1681734,10,0.7304648756980896,0.7442168593406677,0.59765625,1.1715726852416992,0.5783132314682007,1.0847522020339966
CNN,2,64x64,64,32,878694,13,0.5994065403938293,0.9798508882522583,0.5234375,1.196398377418518,0.46987950801849365,1.2637022733688354
CNN,2,64x64,32,256,3232454,10,0.834322452545166,0.4483897089958191,0.58203125,1.2993335723876953,0.6626505851745605,0.968457818031311
CNN,2,64x64,32,64,822662,15,0.829871416091919,0.4829362630844116,0.65625,1.0177702903747559,0.6706827282905579,0.9740594029426575
CNN,2,64x64,32,32,421030,18,0.7383778691291809,0.6306058764457703,0.62109375,1.1246960163116455,0.6867470145225525,0.9834166765213013
CNN,2,64x64,128,256,13145606,13,0.8996043801307678,0.28723233938217163,0.63671875,1.3894662857055664,0.6586345434188843,1.1258422136306763
CNN,2,64x64,128,64,3510470,15,0.6973294019699097,0.7704968452453613,0.6484375,1.124500036239624,0.5742971897125244,1.1141414642333984
CNN,2,64x64,128,32,1904614,12,0.5380811095237732,1.1323771476745605,0.57421875,1.163849115371704,0.5702811479568481,1.1408833265304565
CNN,2,128x128,64,256,29568646,9,0.8679525256156921,0.3833886384963989,0.5546875,1.5904884338378906,0.586345374584198,1.1761696338653564
CNN,2,128x128,64,64,7448902,9,0.7729970216751099,0.6285440921783447,0.55078125,1.3990973234176636,0.5903614163398743,1.0649415254592896
CNN,2,128x128,64,32,3762278,11,0.7255192995071411,0.7092112898826599,0.54296875,1.5179940462112427,0.586345374584198,1.1393842697143555
CNN,2,128x128,32,256,14766790,8,0.8600395917892456,0.40831300616264343,0.54296875,1.6176480054855347,0.522088348865509,1.2076038122177124
CNN,2,128x128,32,64,3706246,8,0.7368941903114319,0.7414667010307312,0.55859375,1.2588233947753906,0.4859437644481659,1.2871702909469604
